7.85	C5_B4
7.24	B4_A4
6.06	D5_C5
5.74	A4_G4
5.01	B4_C5
4.98	A4_B4
4.14	G4_B4
3.44	G4_A4
3.36	B4_G4
3.3	B4_B4
3.26	B4_D5
2.9	C5_D5
2.57	D5_D5
2.56	E5_D5
2.01	D5_B4
1.76	A4_A4
1.72	D4_G4
1.62	G4_G4
1.53	G4_D5
1.51	C5_C5
1.39	D5_E5
1.18	C5_A4
1.12	G4_F#4
1.09	G4_D4
1.02	F#4_G4
0.96	F5_E5
0.94	A4_C5
0.84	D5_G5
0.78	G5_D5
0.73	F#5_G5
0.73	C#5_D5
0.69	D5_C#5
0.62	E5_F5
0.62	G5_F#5
0.55	D4_D4
0.51	D5_G4
0.51	A4_D4
0.5	A4_F#4
0.45	C5_E5
0.43	F#5_E5
0.43	F#4_D4
0.41	F#4_A4
0.4	G4_C5
0.4	G4_G5
0.37	D4_A4
0.34	G5_G5
0.33	B4_D4
0.3	C5_Bb4
0.29	A4_D5
0.29	E5_E5
0.28	D5_F5
0.28	D4_F#4
0.26	G5_B4
0.25	D5_D4
0.25	E5_F#5
0.25	F#4_E4
0.22	E5_C5
0.21	D4_E4
0.21	D5_F#5
0.19	Bb4_G4
0.19	E4_F#4
0.18	G4_G3
0.17	E4_D4
0.17	D5_A4
0.15	G5_G4
0.15	G4_E5
0.14	F#5_D5
0.12	D4_B4
0.12	G4_C#5
0.12	A5_G5
0.11	E4_A4
0.11	D#5_E5
0.11	A5_F#5
0.11	Bb4_C5
0.11	C5_G4
0.11	A4_Bb4
0.11	E5_A4
0.11	B4_E5
0.1	G5_E5
0.1	F#5_A5
0.1	G4_F5
0.1	D4_C5
0.08	G5_F5
0.08	F5_D5
0.08	G3_B4
0.08	C5_F#5
0.08	A#4_C5
0.08	Eb5_D5
0.08	B5_A5
0.08	C#5_E5
0.08	A4_E5
0.08	C6_B5
0.07	Bb4_A4
0.07	Bb4_D5
0.07	D5_Eb5
0.07	B4_A#4
0.06	G5_A#5
0.06	D5_D#5
0.06	G5_D#5
0.06	B5_G5
0.06	B4_D3
0.06	G4_F#5
0.06	A4_G#4
0.06	C5_F#4
0.06	E5_G5
0.06	B5_F#5
0.06	A5_C6
0.06	A#5_B5
0.06	G#4_A4
0.06	E4_E4
0.06	G5_A5
0.06	G5_B5
0.04	G3_D5
0.04	D4_D5
0.04	C#5_C#5
0.04	Bb4_Bb4
0.04	B4_G5
0.04	F5_G5
0.04	G5_D4
0.04	F#4_F#4
0.03	B3_D4
0.03	C#5_Bb4
0.03	A4_F#5
0.03	B5_D6
0.03	D4_B3
0.03	G4_A5
0.03	G5_Ab5
0.03	Ab5_G5
0.03	D6_C6
0.03	D3_B4
0.03	D3_A4
0.03	A5_A5
0.03	G5_A4
0.03	A5_B5
0.03	G3_C5
0.03	E5_B4
0.03	G4_Bb4
0.03	D5_A5
0.03	E5_A5
0.03	F#4_D5
0.01	Bb4_C#5
0.01	C5_C#5
0.01	G3_A4
0.01	B4_C#5
0.01	G4_A#4
0.01	F#5_C5
0.01	C#5_D4
0.01	B4_F5
0.01	G4_E4
0.01	Bb4_Eb5
0.01	G3_G4
0.01	F5_F5
